disciplina,area,durata_anni,territorio,tipo_territorio,contratti_annui_totali,contratti_quinquennio_2026_2031,tasso_abbandono_stimato,nuovi_specialisti_effettivi_5anni,stock_medici_attivi,quota_pensionandi_60plus,pensionamenti_stimati_2026_2031,delta_demografico_target_pct,target_demografico,qol_score_base,notti_mese,reperibilita_mese,ore_settimanali,classe_rischio_legale,indice_burnout,rep_lorda_annua,rep_netta_annua,rep_privato_stimato
Allergologia ed immunologia clinica,Medica,4,Italia (Nazionale),Nazionale,85,425,0.02,416,220,0.38,84,-0.5,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Abruzzo,Regione,2,10,0.02,10,5,0.38,2,-1.18,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Basilicata,Regione,1,5,0.02,5,2,0.399,1,-4.41,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Calabria,Regione,3,15,0.02,15,7,0.399,3,-2.33,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Campania,Regione,8,40,0.02,39,21,0.38,8,-1.77,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Emilia-Romagna,Regione,6,30,0.02,29,17,0.38,6,0.99,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Friuli-Venezia Giulia,Regione,2,10,0.02,10,4,0.38,2,-0.45,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Lazio,Regione,8,40,0.02,39,21,0.38,8,-0.4,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Liguria,Regione,2,10,0.02,10,6,0.399,2,0.13,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Lombardia,Regione,15,75,0.02,74,38,0.361,14,0.82,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Marche,Regione,2,10,0.02,10,6,0.38,2,-0.81,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Molise,Regione,0,0,0.02,0,1,0.399,0,-3.24,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Piemonte,Regione,6,30,0.02,29,16,0.38,6,-0.21,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Puglia,Regione,6,30,0.02,29,14,0.38,5,-2.15,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Sardegna,Regione,2,10,0.02,10,6,0.38,2,-3.2,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Sicilia,Regione,7,35,0.02,34,18,0.399,7,-1.88,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Toscana,Regione,5,25,0.02,24,14,0.38,5,-0.3,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Umbria,Regione,1,5,0.02,5,3,0.38,1,-1.16,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Valle d'Aosta,Regione,0,0,0.02,0,1,0.38,0,-0.55,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,Veneto,Regione,7,35,0.02,34,18,0.361,6,-0.1,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,P.A. Bolzano,Regione,1,5,0.02,5,2,0.361,1,1.62,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Allergologia ed immunologia clinica,Medica,4,P.A. Trento,Regione,1,5,0.02,5,2,0.361,1,1.32,totale,86.0,0.5,1.0,40,1,40,112900.0,62100.0,36500.0
Dermatologia e venereologia,Medica,4,Italia (Nazionale),Nazionale,125,625,0.01,619,950,0.38,361,-0.5,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
Dermatologia e venereologia,Medica,4,Abruzzo,Regione,3,15,0.01,15,20,0.38,8,-1.18,totale,93.8,0.0,0.5,38,1,30,145400.0,80000.0,69400.0
