regione,pop_totale_2026,pop_totale_2031,pop_under15_2026,pop_under15_2031,pop_15_64_2026,pop_15_64_2031,pop_over65_2026,pop_over65_2031,pop_over80_2026,pop_over80_2031,delta_pop_totale_pct,delta_under15_pct,delta_over65_pct,delta_over80_pct
Abruzzo,1267219,1252310,140843,124150,789693,761081,336683,367079,102194,115570,-1.1765132940715062,-11.852204227402142,9.028076855677298,13.088831046832494
Basilicata,525239,502082,55886,48991,329518,301340,139835,151751,40546,45450,-4.408850066350746,-12.337615860859607,8.521471734544285,12.09490455285355
Calabria,1827965,1785307,223599,200728,1146382,1083107,457984,501472,128095,148333,-2.3336333026069975,-10.228578839798033,9.495528228060369,15.799211522697998
Campania,5569641,5471306,723758,652608,3625300,3443988,1220583,1374710,321294,381686,-1.7655536505853788,-9.830633996446327,12.627326449737545,18.79649168674174
Emilia-Romagna,4476459,4520830,515427,471618,2832222,2818708,1128810,1230504,369933,407282,0.991207559367795,-8.499554738110342,9.008956334547001,10.09615254654221
Friuli-Venezia Giulia,1193491,1188079,126917,116707,734073,713306,332501,358066,112113,124851,-0.4534596406675878,-8.04462759126043,7.688698680605471,11.361751090417703
Lazio,5708762,5686046,660612,576245,3662913,3565540,1385237,1544261,426902,480451,-0.397914644190807,-12.771036553983276,11.479912823581813,12.543628280026798
Liguria,1512222,1514162,153377,145029,913906,895225,444939,473908,154668,164504,0.12828804236415026,-5.442797811927473,6.510780129410998,6.359427935966069
Lombardia,10063381,10146392,1198643,1098560,6430884,6353020,2433854,2694812,781625,881625,0.8248818165584707,-8.34969211016124,10.72200715408566,12.793858947705102
Marche,1479989,1468020,162946,143236,917256,891390,399787,433394,131837,142785,-0.808722226989525,-12.096031814220662,8.40622631551301,8.304193815089846
Molise,285857,276583,29178,25694,177012,165818,79667,85071,24012,26645,-3.2442794823985417,-11.940503118788127,6.783235216589052,10.965350658004331
Piemonte,4255024,4245995,465607,425143,2633281,2585628,1156136,1235224,378371,412818,-0.2121962179296756,-8.690590991973918,6.840717701031712,9.104027528536808
Provincia autonoma di Bolzano,542208,550976,80075,75527,345822,340795,116311,134654,37752,41528,1.6170915958451368,-5.679675304402123,15.770649379680341,10.002119093028183
Provincia autonoma di Trento,548723,555978,68957,63878,344966,339978,134800,152122,42118,48654,1.322160725903598,-7.365459634264831,12.85014836795252,15.518305712521963
Puglia,3866066,3783035,445762,393080,2442724,2316607,977580,1073348,288100,336000,-2.147687080355069,-11.818414310775706,9.7964360973015,16.626171468240194
Sardegna,1554683,1505003,145710,119493,972005,906729,436968,478781,132187,148994,-3.195506736743117,-17.992588017294626,9.568892916643781,12.71456345934169
Sicilia,4776288,4686444,603000,542498,3016698,2877925,1156590,1266021,324267,374805,-1.881042349205073,-10.033499170812604,9.461520504240916,15.585304702606187
Toscana,3658954,3647841,392933,353912,2275062,2229129,990959,1064800,330430,363445,-0.3037206808284554,-9.93070065380103,7.451468728776872,9.991526193142269
Trentino-Alto Adige,1090930,1106963,149032,139405,690787,680778,251111,286780,79873,90186,1.4696634981162862,-6.459686510279672,14.20447531171474,12.911747398995907
Umbria,850607,840778,91639,80559,522261,505509,236707,254710,79490,86619,-1.1555277584125219,-12.09092198736346,7.605605241923559,8.968423701094478
Valle d Aosta-Vallee d Aoste,122539,121859,13543,11918,76815,74356,32181,35585,10110,11338,-0.5549253706983083,-11.998818577863103,10.577670053758428,12.146389713155292
Veneto,4857714,4852754,556387,504876,3069684,2977940,1231643,1369938,390903,441664,-0.10210564063672749,-9.258124291185812,11.22849721875576,12.985574426392224
