scenario_id,scenario_nome,disciplina,area,durata_anni,territorio,tipo_territorio,stock_medici_attivi,pensionamenti_stimati_5y,esodo_dimissioni_stimato_5y,uscite_totali_ssn_5y,moltiplicatore_demografico,fabbisogno_netto_ssn_2031,capacita_assorbimento_privato,fabbisogno_totale_2031,nuovi_diplomati_effettivi_5y,saldo_netto_ssn,isoo,probabilita_bando_ssn_pct,verdetto_carriera_2031,semaforo,dettaglio_prospettiva,qol_score_base,rep_lorda_annua,rep_privato_stimato
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Italia (Nazionale),Nazionale,220,84,22,106,0.998,106,121,227,416,310,1.833,32.0,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Abruzzo,Regione,5,2,0,2,0.994,2,3,5,10,8,2.0,25.1,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Basilicata,Regione,2,1,0,1,0.978,1,1,2,5,4,2.5,25.1,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Calabria,Regione,7,3,1,4,0.988,4,4,8,15,11,1.875,33.5,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Campania,Regione,21,8,2,10,0.991,10,11,21,39,29,1.857,32.2,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Emilia-Romagna,Regione,17,6,2,8,1.005,8,8,16,29,21,1.812,34.7,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Friuli-Venezia Giulia,Regione,4,2,0,2,0.998,2,3,5,10,8,2.0,25.1,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Lazio,Regione,21,8,2,10,0.998,10,11,21,39,29,1.857,32.2,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Liguria,Regione,6,2,1,3,1.001,3,3,6,10,7,1.667,37.7,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Lombardia,Regione,38,14,4,18,1.004,18,22,40,74,56,1.85,30.6,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Marche,Regione,6,2,1,3,0.996,3,3,6,10,7,1.667,37.7,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Molise,Regione,1,0,0,0,0.984,0,0,0,0,0,2.0,95.0,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Piemonte,Regione,16,6,2,8,0.999,8,8,16,29,21,1.812,34.7,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Puglia,Regione,14,5,1,6,0.989,6,8,14,29,23,2.071,26.0,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Sardegna,Regione,6,2,1,3,0.984,3,3,6,10,7,1.667,37.7,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Sicilia,Regione,18,7,2,9,0.991,9,10,19,34,25,1.789,33.3,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Toscana,Regione,14,5,1,6,0.999,6,7,13,24,18,1.846,31.4,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
scenario_baseline,Scenario 1: Baseline (Inerziale),Allergologia ed immunologia clinica,Medica,4,Umbria,Regione,3,1,0,1,0.994,1,1,2,5,4,2.5,25.1,Pletora / Grave Saturazione,Rosso,"Forte esubero di specialisti rispetto alle posizioni ospedaliere disponibili al 2031; altissima concorrenza nei concorsi, sbocco quasi obbligato nella libera professione pura.",86.0,112900.0,36500.0
